lambda,num_clients,mu,servers,capacity,simulation_time,warmup_time,arrivals,departures,dropped,avg_n_system,avg_n_queue,avg_wait_queue,avg_response_time,throughput,utilization,drop_probability,scenario,replication
4.0,1,8.0,1,-1,5000.0,500.0,17980,17980,0,0.9944985897082046,0.4902072569569745,0.12265831881485999,1.2488832090571096,3.9955555555555557,0.5042913327512302,0.0,MM1,21
4.0,1,8.0,1,-1,5000.0,500.0,18213,18212,0,1.028013972349783,0.5239292415416902,0.12945758768600954,1.2540111213736298,4.0471111111111115,0.5040847308080928,0.0,MM1,22
4.0,1,8.0,1,-1,5000.0,500.0,18093,18093,0,1.0062042766377322,0.5028918053269229,0.12507672160344627,1.250258069135565,4.020666666666667,0.5033124713108094,0.0,MM1,23
4.0,1,8.0,1,-1,5000.0,500.0,17947,17946,0,0.9979371871082817,0.4960802800113745,0.12439324975209992,1.2502344430838668,3.988,0.5018569070969071,0.0,MM1,24
4.0,1,8.0,1,-1,5000.0,500.0,17970,17970,0,1.0002825097314787,0.5023097610248379,0.12579795921251385,1.2505238719420944,3.993333333333333,0.49797274870664093,0.0,MM1,25
4.0,1,8.0,1,-1,5000.0,500.0,17993,17994,0,1.006722806505902,0.5000277607083011,0.12515202042280013,1.251878441526147,3.998666666666667,0.5066950457976007,0.0,MM1,26
4.0,1,8.0,1,-1,5000.0,500.0,18031,18031,0,0.9845601389359161,0.48844641876874567,0.12190166293934644,1.2457168557047085,4.006888888888889,0.49611372016717026,0.0,MM1,27
4.0,1,8.0,1,-1,5000.0,500.0,17970,17970,0,1.02548096971104,0.5213132561563593,0.13055181670214117,1.2567964397553033,3.993333333333333,0.5041677135546808,0.0,MM1,28
4.0,1,8.0,1,-1,5000.0,500.0,17942,17941,0,0.9799399840282715,0.48636333686343713,0.12198872707690234,1.2457798894106986,3.9868888888888887,0.49357664716483424,0.0,MM1,29
4.0,1,8.0,1,-1,5000.0,500.0,18021,18019,0,1.0037993150453624,0.5009188961430021,0.12506749372751444,1.2506477996432668,4.004222222222222,0.5028804189023602,0.0,MM1,30
4.0,1,8.0,1,-1,5000.0,500.0,17969,17971,0,0.9836368218914597,0.4881225808060912,0.12222983232655467,1.2463139564572399,3.9935555555555555,0.49551424108536835,0.0,MM1,31
4.0,1,8.0,1,-1,5000.0,500.0,18196,18195,0,0.9997158441629697,0.4970277535967892,0.1229252482102529,1.2472491655569218,4.043333333333333,0.5026880905661805,0.0,MM1,32
4.0,1,8.0,1,-1,5000.0,500.0,18135,18134,0,0.9948236510055445,0.4942828802399109,0.12265231905045569,1.2468548053483572,4.0297777777777775,0.5005407707656336,0.0,MM1,33
4.0,1,8.0,1,-1,5000.0,500.0,18181,18182,0,0.9710885417487471,0.47221550045643723,0.11687649153349258,1.2403463549256641,4.040444444444445,0.4988730412923099,0.0,MM1,34
4.0,1,8.0,1,-1,5000.0,500.0,18038,18038,0,1.0218275669340808,0.5159570868513684,0.12871753469515235,1.2549187299702578,4.008444444444445,0.5058704800827125,0.0,MM1,35
4.0,1,8.0,1,-1,5000.0,500.0,18014,18016,0,0.9761804322166598,0.48347832258888856,0.12088930202929164,1.2439744840182465,4.003555555555556,0.4927021096277713,0.0,MM1,36
4.0,1,8.0,1,-1,5000.0,500.0,18034,18034,0,0.9870775389836154,0.4877473537228871,0.12170694752983208,1.2463041435857933,4.007555555555555,0.49933018526072837,0.0,MM1,37
4.0,1,8.0,1,-1,5000.0,500.0,17792,17794,0,0.9695686975843075,0.47415860317595493,0.11992094583179194,1.2452092043253697,3.954222222222222,0.49541009440835243,0.0,MM1,38
4.0,1,8.0,1,-1,5000.0,500.0,17982,17982,0,1.0078302192588846,0.5049729277579514,0.1263696015410289,1.2522097645792998,3.996,0.502857291500933,0.0,MM1,39
4.0,1,8.0,1,-1,5000.0,500.0,17885,17884,0,0.9590973291421968,0.465097762923717,0.11702862520446916,1.241326530044649,3.974222222222222,0.49399956621847996,0.0,MM1,40
4.0,1,8.0,1,-1,5000.0,500.0,17887,17886,0,0.9742389571158437,0.4827737115926433,0.12146269161170162,1.245098717701109,3.974666666666667,0.4914652455232005,0.0,MM1,41
4.0,1,8.0,1,-1,5000.0,500.0,18159,18159,0,1.0070395925055333,0.5052758123088913,0.12521290574315827,1.2495554912866877,4.035333333333333,0.5017637801966421,0.0,MM1,42
4.0,1,8.0,1,-1,5000.0,500.0,18137,18138,0,0.975389360946056,0.4820618449934532,0.11960124388189368,1.2420052060828495,4.030666666666667,0.49332751595260266,0.0,MM1,43
4.0,1,8.0,1,-1,5000.0,500.0,18037,18037,0,1.0210456488560442,0.5134240377390995,0.12814182159351512,1.254791456427894,4.008222222222222,0.5076216111169448,0.0,MM1,44
4.0,1,8.0,1,-1,5000.0,500.0,18116,18117,0,0.970986917937366,0.4694965179073683,0.11661612466650977,1.2411824346906009,4.026,0.5014904000299977,0.0,MM1,45
4.0,1,8.0,1,-1,5000.0,500.0,17808,17807,0,0.9826918090414951,0.48582418327909593,0.12276408703722942,1.2483182785338733,3.9571111111111112,0.49686762576239907,0.0,MM1,46
4.0,1,8.0,1,-1,5000.0,500.0,17748,17747,0,0.9690035966797459,0.47649626099230935,0.1208182614823728,1.2456998414893878,3.9437777777777776,0.49250733568743654,0.0,MM1,47
4.0,1,8.0,1,-1,5000.0,500.0,18072,18071,0,0.9774376094576873,0.47695007053799476,0.11876903975546325,1.243393762664488,4.015777777777778,0.5004875389196926,0.0,MM1,48
4.0,1,8.0,1,-1,5000.0,500.0,17823,17823,0,0.961402607168036,0.4705741076111728,0.11881563906833056,1.2427356094535582,3.9606666666666666,0.4908284995568631,0.0,MM1,49
